"site_no","station_nm","dec_lat_va","dec_long_va","coord_datum_cd"
"01054200","Wild River at Gilead, Maine",44.39055556,-70.9797222,"NAD83"
"01435000","NEVERSINK RIVER NEAR CLARYVILLE NY",41.89,-74.59,"NAD83"
"01466500","McDonalds Branch in Byrne State Forest NJ",39.885,-74.50527778,"NAD83"
"01545600","Young Womans Creek near Renovo, PA",41.38951168,-77.6908191,"NAD27"
"02038850","HOLIDAY CREEK NEAR ANDERSONVILLE, VA",37.41542434,-78.6358392,"NAD27"
"02327100","SOPCHOPPY RIVER NR SOPCHOPPY, FLA.",30.12936856,-84.4943482,"NAD27"
"02450250","SIPSEY FORK NEAR GRAYSON AL",34.28537757,-87.3989084,"NAD27"
"02479155","CYPRESS CREEK NR JANICE, MS",31.02527778,-89.0166667,"NAD83"
"03460000","CATALOOCHEE CREEK NEAR CATALOOCHEE, NC",35.6672222,-83.0727778,"NAD83"
"03497300","LITTLE RIVER ABOVE TOWNSEND, TN",35.66453328,-83.7112821,"NAD27"
"04001000","WASHINGTON CREEK AT WINDIGO, MI",47.9212792,-89.1459197,"NAD27"
"04063700","POPPLE RIVER NEAR FENCE, WI",45.7636111,-88.4636111,"NAD83"
"05014500","Swiftcurrent Creek at Many Glacier MT",48.7988333,-113.6567306,"NAD83"
"05124480","KAWISHIWI RIVER NEAR ELY, MN",47.9226749,-91.535126,"NAD27"
"06623800","ENCAMPMENT RIVER AB HOG PARK CR, NR ENCAMPMENT, WY",41.0235791,-106.824766,"NAD27"
"06879650","KINGS C NR MANHATTAN, KS",39.102075,-96.5946889,"NAD83"
"07060710","North Sylamore Creek near Fifty Six, AR",35.99166667,-92.2138889,"NAD83"
"07083000","HALFMOON CREEK NEAR MALTA, CO",39.17221259,-106.3891926,"NAD27"
"07335700","Kiamichi River near Big Cedar, OK",34.63843685,-94.6127236,"NAD27"
"08377900","RIO MORA NEAR TERRERO, NM",35.77711389,-105.6580278,"NAD83"
"09196500","PINE CREEK ABOVE FREMONT LAKE, WY",43.02705556,-109.7735278,"NAD83"
"09352900","VALLECITO CREEK NEAR BAYFIELD, CO.",37.47750126,-107.5436688,"NAD27"
"09430600","MOGOLLON CREEK NEAR CLIFF, NM",33.16666667,-108.6497222,"NAD83"
"09508300","WET BOTTOM CREEK NEAR CHILDS, AZ",34.16086787,-111.6929235,"NAD27"
"10172200","RED BUTTE CREEK AT FORT DOUGLAS, NEAR SLC, UT",40.77994627,-111.806045,"NAD27"
"10249300","S TWIN RV NR ROUND MOUNTAIN, NV",38.8874302,-117.2453673,"NAD27"
"11475560","ELDER C NR BRANSCOMB CA",39.7295997,-123.6439073,"NAD27"
"13018300","CACHE CREEK NEAR JACKSON, WY",43.45215258,-110.7040913,"NAD27"
"13331500","MINAM RIVER AT MINAM, OR",45.6198669,-117.7265892,"NAD27"
"15292700","TALKEETNA R NR TALKEETNA AK",62.3464388,-150.019201,"NAD27"
"16618000","Kahakuloa Stream near Honokohau, Maui, HI",20.97869444,-156.5545,"NAD83"
"402114105350101","BIG THOMPSON BL MORAINE PARK NR ESTES PARK, CO",40.3538729,-105.5841679,"NAD27"
